tau,A1,A2,A3,A4,A5,Mean,Error
1,12.6,12.6,13.2,13.8,11.8,12.8,0.299332591
2,10.8,11.8,11.8,10.8,10.2,11.08,0.280570847
4,11.2,9.2,12.6,10.6,11.2,10.96,0.491202606
8,11.2,12.2,9.8,9.8,8.8,10.36,0.534864469
12,10,12,9,8.2,9.8,9.8,0.568506816
16,8.8,8.2,9.6,10.8,9.6,9.4,0.391918359
20,8.8,10.8,8.8,8.2,8.2,8.96,0.428579048
24,8.6,10.8,8,9.2,8.6,9.04,0.428579048
28,7.8,8,7.2,8.6,7.8,7.88,0.200798406
32,8.2,6.8,6.4,8.4,9,7.76,0.443260646
64,6.6,7,7,7.2,5.6,6.68,0.256748905
