tau,A1,A2,A3,A4,A5,Mean,Error
1,19.2,19.8,19.8,20.6,19.6,19.8,0.203960781
2,17,16.8,20,19,17.8,18.12,0.544352827
4,17.2,19,21.4,18.4,19.2,19.04,0.612927402
8,17.4,18.6,19,17.6,17,17.92,0.33752037
12,16.6,17.2,16.2,17,17.4,16.88,0.192665513
16,14.4,16.4,16.2,16.4,15.8,15.84,0.336570943
20,14.6,15.4,14.2,15,15.8,15,0.252982213
24,14,13,14.8,15.6,13.4,14.16,0.421046316
28,13.8,13,13.6,13.8,14.2,13.68,0.175271218
32,12.2,13,13.2,12,12.8,12.64,0.207074866
48,9,10.6,9.8,10.8,10.2,10.08,0.286216701
64,8.4,8.4,7.8,7.8,7.6,8,0.149666295
128,7.2,8,7.2,7.2,8,7.52,0.175271218
