tau,A1,A2,A3,A4,A5,Mean,Error
1,30.8,29.4,30,30.2,30.4,30.16,0.207074866
2,28,27,27.2,29.8,28.2,28.04,0.443260646
4,28.6,29.4,27.8,28,29,28.56,0.267731208
8,26,25.6,26.4,26.6,26.6,26.24,0.173435867
16,22.6,21.4,24.6,23.4,24.2,23.24,0.513497809
24,18.8,19.6,21.2,19,21,19.92,0.447571223
32,18.2,17.8,18.8,16.8,17.8,17.88,0.29175332
40,14.4,15.2,15.2,15.8,15,15.12,0.200798406
48,11.8,11,12.6,11.8,12.4,11.92,0.250439613
56,10.6,11.8,10,12,10.2,10.92,0.369215384
64,8.8,10,9.4,10.6,9.8,9.72,0.268923781
128,6,6.8,6.2,6.4,5.8,6.24,0.153883072
