tau,A1,A2,A3,A4,A5,Mean,Error
1,124,124,124,124,123,123.8,0.178885438
2,89.6,89.6,90.4,89.6,88.8,89.6,0.22627417
3,64,63.2,63.2,62.4,64,63.36,0.267731208
4,42.4,44.8,42.4,44,42.4,43.2,0.45254834
6,22.4,24.8,27.2,20.8,21.6,23.36,1.046747343
8,14.4,13.6,15.2,15.2,15.2,14.72,0.286216701
12,8.8,9.6,8.8,10.4,9.6,9.44,0.267731208
