tau,A1,A2,A3,A4,A5,Mean,Error
1,152,151,150,152,152,151.4,0.357770876
2,136,139,138,136,136,137,0.565685425
4,113,113,112,114,112,112.8,0.334664011
6,92,92,93.6,92.8,93.6,92.8,0.32
8,78.4,76.8,76,77.6,76.8,77.12,0.364856136
12,49.6,51.2,52,52,51.2,51.2,0.391918359
16,32.8,33.6,32.8,32.8,33.6,33.12,0.175271218
24,13.6,15.2,14.4,14.4,14.4,14.4,0.22627417
32,8.8,9.6,8.8,8.8,8,8.8,0.22627417
