tau,A1,A2,A3,A4,A5,Mean,Error
3,29,30.2,28,30,29,29.24,0.355077456
4,38.2,37.8,37.2,38.6,37.4,37.84,0.229085137
5,44.4,44.4,44,44,42.8,43.92,0.262906828
6,48.8,47.6,46.8,47.2,47.6,47.6,0.299332591
7,51.2,49.6,50.8,50,48.8,50.08,0.381994764
8,51.6,51.6,51.2,51.2,51.6,51.44,0.087635609
9,52.8,52.4,52,52,52,52.24,0.143108351
10,52.8,54.4,54.4,53.2,53.2,53.6,0.299332591
16,53.6,53.6,54.4,53.2,53.6,53.68,0.175271218
