tau,A1,A2,A3,A4,A5,Mean,Error
5,104,106,105,106,104,105,0.4
10,89.6,90.4,91.2,89.6,92,90.56,0.417228954
20,65.6,64.8,65.6,64.8,65.6,65.28,0.175271218
40,31.2,31,30,31,30.6,30.76,0.190997382
50,11.2,10.8,11,11.2,10.8,11,0.08
60,15.6,14.2,15.6,15.2,14.6,15.04,0.249158584
70,27.8,29,29.4,28.4,27.6,28.44,0.306724632
80,41.2,40.4,40,40.8,40.8,40.64,0.182428068
100,61.6,62.4,62,64,62,62.4,0.375233261
120,78,78,79.2,77.6,78,78.16,0.242652014
160,102,101,102,102,103,102,0.282842712
200,117,116,116,116,116,116.2,0.178885438
300,134,136,134,134,136,134.8,0.438178046
400,140,140,140,138,138,139.2,0.438178046
600,144,140,142,142,142,142,0.565685425
