tau,A1,A2,A3,A4,A5,Mean,Error
3,86.4,84.8,84.8,86.4,84,85.28,0.429325052
6,59.2,56.4,57.6,59.2,57.6,58,0.48
8,40,39.2,40.8,40.8,40,40.16,0.267731208
10,24,24.8,24,24.8,24,24.32,0.175271218
11,16.8,16,16,16,16,16.16,0.143108351
12,10.4,11.2,11.2,10.4,9.6,10.56,0.267731208
13,12,12,12.8,12,12.8,12.32,0.175271218
14,9.6,10.4,8.8,8.8,8.8,9.28,0.286216701
15,14.4,15.2,14.4,15.2,14.4,14.72,0.175271218
16,20.8,21.6,20.8,20,21.6,20.96,0.267731208
18,30.4,29.6,31.2,29.6,31.2,30.4,0.32
20,40,41.6,40.8,40.8,40.8,40.8,0.22627417
24,57.6,57.6,58.4,57.6,56.8,57.6,0.22627417
32,84.8,85.6,84.8,84.8,84.8,84.96,0.143108351
40,102,103,103,103,103,102.8,0.178885438
48,115,114,114,117,112,114.4,0.726636085
64,128,130,130,130,132,130,0.565685425
80,136,138,138,136,136,136.8,0.438178046
96,142,142,140,140,142,141.2,0.438178046
128,144,144,146,144,142,144,0.565685425
