tau,A1,A2,A3,A4,A5,Mean,Error
3,24.4,23.6,22.4,24.4,23.6,23.68,0.733212111
4,16,17.6,15.6,16.4,16,16.32,0.688186021
5,10,10.4,9.6,9.6,10,9.92,0.299332591
6,6.4,8,7.2,6,6.8,6.88,0.688186021
7,12.4,11.2,11.6,12.8,12,12,0.565685425
8,16,15.2,15.2,15.6,17.2,15.84,0.74188948
10,24.8,25.2,25.6,24,24.8,24.88,0.530659966
12,32.4,33.2,31.6,31.6,31.2,32,0.715541753
16,41.2,41.6,42,42.4,43.2,42.08,0.688186021
20,50.4,51.2,51.2,50,49.6,50.48,0.64
24,56,55.6,54.4,54.8,56.8,55.52,0.85416626
32,62,60.8,60.4,62,58.4,60.72,1.324235629
64,65.6,68.4,66.4,65.2,64.8,66.08,1.274990196
128,68.4,68.8,69.6,68.4,68.8,68.8,0.438178046
