tau,A1,A2,A3,A4,A5,Mean,Error
10,50.8,50,52,52.4,50.8,51.2,0.391918359
20,43.6,44,42,43.2,43.2,43.2,0.299332591
40,29.6,29.6,30,30.4,30.4,30,0.16
60,15.6,16.8,16.8,16,17.6,16.56,0.311897419
70,12.4,12.4,12,10.8,12.4,12,0.277128129
80,10,8.8,8.4,9.2,8.4,8.96,0.267731208
90,8.8,8.8,9.6,9.2,7.6,8.8,0.299332591
100,12,13.2,11.2,11.6,12,12,0.299332591
120,20,19.6,21.2,19.6,20.4,20.16,0.267731208
160,36.4,37.2,33.6,34.4,35.6,35.44,0.583506641
240,52.4,52.8,54,52.8,52.4,52.88,0.262906828
480,76.8,77.6,74.4,75.2,75.6,75.92,0.510999022
720,80.8,82.4,80.4,80.8,80.8,81.04,0.311897419
