tau,A1,A2,A3,A4,A5,Mean,Error
3,13.8,16.4,16,14.8,14.2,15.04,0.450422024
4,23.4,21,21.8,22.2,21,21.88,0.398396787
5,26.6,26.2,26.6,26.6,25.4,26.28,0.208614477
6,31.2,30,29.6,32,31.2,30.8,0.391918359
7,34,33.2,34.4,33.2,34,33.76,0.214662526
8,38,36.4,36.8,35.6,37.2,36.8,0.357770876
10,39.2,37.6,39.6,38.8,40,39.04,0.368347662
12,41.2,40.8,40.8,40.4,40.4,40.72,0.133865604
16,42.8,42.4,44,45.2,42.4,43.36,0.487934422
20,41.6,41.2,42.4,40.4,42,41.52,0.307766145
24,42.4,42,40.8,42.8,42.8,42.16,0.331783062
