tau,A1,A2,A3,A4,A5,Mean,Error
3,19.2,19.6,20,20,19.6,19.68,0.133865604
4,12.8,12.8,13.2,12.4,12,12.64,0.182428068
5,19.2,18.8,19.6,18.8,18.4,18.96,0.182428068
6,33.2,34,32.8,32.4,33.6,33.2,0.252982213
7,44.4,45.2,45.6,44.8,44.8,44.96,0.182428068
8,54.8,54.2,55.6,54.8,53.2,54.52,0.355977527
10,70,69.2,70.4,71.2,71.6,70.48,0.381994764
12,84.8,82.4,82.4,82.4,83.2,83.04,0.417228954
16,98.4,98.4,97.6,97.6,99.2,98.24,0.267731208
24,109,108,111,111,108,109.4,0.606630036
32,112,113,112,113,114,112.8,0.334664011
64,114,114,113,112,116,113.8,0.593295879
