tau,A1,A2,A3,A4,A5
1,14.8,14.8,16.8,15.6,15.6
2,17.2,14.8,16.8,16,16
3,17.2,16.4,15.6,17.6,16.4
4,15.6,17.2,15.6,16,16.4
5,18.4,16,15.6,16.8,16.4
6,17.2,16.8,14.8,18.8,17.6
8,17.6,15.6,16,17.6,16.8
10,16.4,16.8,17.2,19.2,16
15,16.8,16.8,18,18.8,16.4
20,18,18,16.4,18,15.6
30,17.6,15.6,15.6,18,17.2
40,15.6,16.4,18.4,18,16.4
60,17.6,16,18,16.8,17.2
80,17.6,17.2,16.8,16.4,16
100,18,16.8,17.2,17.2,16.4
