tau,A1,A2,A3,A4,A5
5,13.2,12,11.6,10.4,12.4
7,12.4,11.2,13.2,11.6,12.8
10,13.6,13.6,11.6,14,13.6
15,13.2,14.8,12.8,14.4,12
20,14.8,14.8,14,15.2,16
30,17.6,16,16,16,17.2
40,19.2,20,17.6,20,18.4
60,21.6,20.8,20.8,20,20.4
80,20.8,20.4,22,21.2,19.6
100,21.6,21.2,22.8,18.4,22.4
