tau,A1,A2,A3,A4,A5
1,15.6,14,15.6,14.4,15.2
2,14,14.8,15.2,15.2,14.8
4,12.8,13.2,13.6,15.6,13.2
8,13.2,14.4,10.4,15.2,12.4
12,12.4,11.2,11.6,12,12
16,16,12.8,11.6,11.6,11.6
20,11.2,10.8,12.4,10.8,11.2
24,13.2,11.6,10.4,10,12
28,11.6,10.8,11.6,10.8,10.4
32,11.2,11.2,10.4,10,11.2
