X,CH1,CH2,Start,Increment,
Sequence,Volt,Volt,-4.800000e-02,1.000000e-04
0,4.60e+00,-6.00e-01,
1,4.00e+00,-4.00e-01,
2,4.40e+00,-4.00e-01,
3,3.80e+00,-8.00e-01,
4,4.20e+00,-4.00e-01,
5,3.40e+00,-8.00e-01,
6,3.80e+00,-8.00e-01,
7,3.20e+00,-6.00e-01,
8,3.60e+00,-6.00e-01,
9,3.00e+00,-1.00e+00,
10,3.20e+00,-1.00e+00,
11,2.80e+00,-6.00e-01,
12,3.00e+00,-8.00e-01,
13,2.40e+00,-1.00e+00,
14,2.80e+00,-1.20e+00,
15,2.20e+00,-8.00e-01,
16,2.60e+00,-8.00e-01,
17,2.00e+00,-1.20e+00,
18,2.40e+00,-1.00e+00,
19,1.80e+00,-1.40e+00,
20,2.00e+00,-1.40e+00,
21,1.40e+00,-1.00e+00,
22,1.80e+00,-1.20e+00,
23,1.20e+00,-1.40e+00,
24,1.40e+00,-1.20e+00,
25,1.00e+00,-1.60e+00,
26,1.40e+00,-1.60e+00,
27,8.00e-01,-1.20e+00,
28,8.00e-01,-1.40e+00,
29,1.20e+00,-1.80e+00,
30,1.00e+00,-1.80e+00,
31,6.00e-01,-1.40e+00,
32,6.00e-01,-1.40e+00,
33,1.00e+00,-1.80e+00,
34,8.00e-01,-1.60e+00,
35,4.00e-01,-2.20e+00,
36,8.00e-01,-2.20e+00,
37,4.00e-01,-1.60e+00,
38,4.00e-01,-1.80e+00,
39,8.00e-01,-2.20e+00,
40,4.00e-01,-2.00e+00,
41,8.00e-01,-2.40e+00,
42,4.00e-01,-2.40e+00,
43,8.00e-01,-2.00e+00,
44,4.00e-01,-2.20e+00,
45,8.00e-01,-2.40e+00,
46,4.00e-01,-2.20e+00,
47,8.00e-01,-2.60e+00,
48,4.00e-01,-2.60e+00,
49,8.00e-01,-2.20e+00,
50,6.00e-01,-2.40e+00,
51,1.00e+00,-2.60e+00,
52,6.00e-01,-2.40e+00,
53,1.00e+00,-2.80e+00,
54,8.00e-01,-2.40e+00,
55,1.20e+00,-2.80e+00,
56,1.20e+00,-2.60e+00,
57,8.00e-01,-3.00e+00,
58,1.00e+00,-3.00e+00,
59,1.40e+00,-2.60e+00,
60,1.00e+00,-2.80e+00,
61,1.60e+00,-3.00e+00,
62,1.60e+00,-2.80e+00,
63,1.20e+00,-3.20e+00,
64,1.40e+00,-2.80e+00,
65,2.00e+00,-3.20e+00,
66,1.80e+00,-3.20e+00,
67,2.20e+00,-3.00e+00,
68,2.00e+00,-3.00e+00,
69,2.40e+00,-3.40e+00,
70,2.20e+00,-3.00e+00,
71,2.60e+00,-3.40e+00,
72,2.40e+00,-3.20e+00,
73,2.80e+00,-3.40e+00,
74,2.60e+00,-3.20e+00,
75,3.20e+00,-3.60e+00,
76,2.80e+00,-3.60e+00,
77,3.40e+00,-3.20e+00,
78,3.00e+00,-3.60e+00,
79,3.60e+00,-3.40e+00,
80,3.20e+00,-3.80e+00,
81,4.00e+00,-3.40e+00,
82,3.80e+00,-3.40e+00,
83,4.40e+00,-3.80e+00,
84,4.00e+00,-3.60e+00,
85,4.60e+00,-4.00e+00,
86,4.40e+00,-4.00e+00,
87,4.80e+00,-3.60e+00,
88,4.60e+00,-4.00e+00,
89,5.20e+00,-3.80e+00,
90,4.80e+00,-3.80e+00,
91,5.40e+00,-4.20e+00,
92,5.20e+00,-4.20e+00,
93,5.60e+00,-3.80e+00,
94,5.40e+00,-4.20e+00,
95,5.80e+00,-4.00e+00,
96,5.80e+00,-4.00e+00,
97,6.40e+00,-4.60e+00,
98,6.00e+00,-4.20e+00,
99,6.60e+00,-4.60e+00,
100,6.20e+00,-4.40e+00,
101,6.80e+00,-4.80e+00,
102,6.40e+00,-4.40e+00,
103,7.00e+00,-4.80e+00,
104,6.60e+00,-4.40e+00,
105,7.20e+00,-4.80e+00,
106,7.20e+00,-4.60e+00,
107,6.80e+00,-5.00e+00,
108,7.00e+00,-4.60e+00,
109,7.40e+00,-5.00e+00,
110,7.20e+00,-4.60e+00,
111,7.60e+00,-5.00e+00,
112,7.20e+00,-4.80e+00,
113,7.80e+00,-5.20e+00,
114,7.80e+00,-5.20e+00,
115,7.40e+00,-4.80e+00,
116,7.80e+00,-5.00e+00,
117,8.20e+00,-5.20e+00,
118,8.20e+00,-5.00e+00,
119,7.80e+00,-5.40e+00,
120,7.80e+00,-5.40e+00,
121,8.20e+00,-5.00e+00,
122,8.00e+00,-5.20e+00,
123,8.40e+00,-5.60e+00,
124,8.00e+00,-5.20e+00,
125,8.40e+00,-5.60e+00,
126,8.00e+00,-5.20e+00,
127,8.40e+00,-5.60e+00,
128,8.40e+00,-5.40e+00,
129,8.00e+00,-5.80e+00,
130,8.00e+00,-5.80e+00,
131,8.40e+00,-5.40e+00,
132,8.20e+00,-5.40e+00,
133,7.80e+00,-5.80e+00,
134,8.20e+00,-5.60e+00,
135,7.80e+00,-6.00e+00,
136,7.80e+00,-6.00e+00,
137,8.00e+00,-5.60e+00,
138,7.40e+00,-5.80e+00,
139,8.00e+00,-6.00e+00,
140,7.80e+00,-5.80e+00,
141,7.20e+00,-6.20e+00,
142,7.20e+00,-6.20e+00,
143,7.60e+00,-5.80e+00,
144,7.40e+00,-6.00e+00,
145,7.00e+00,-6.40e+00,
146,7.20e+00,-6.40e+00,
147,6.80e+00,-6.00e+00,
148,7.00e+00,-6.40e+00,
149,6.60e+00,-6.00e+00,
150,6.80e+00,-6.20e+00,
151,6.40e+00,-6.60e+00,
